STATE,RURALINTERSTATE,RURALFREEWAYS AND,RURALPRINCIPAL,RURALMINOR,RURALMAJOR,RURALMINOR,RURALLOCAL,RURALTOTAL,URBANINTERSTATE,URBANFREEWAYS AND,URBANPRINCIPAL,URBANMINOR,URBANMAJOR,URBANMINOR,URBANLOCAL,URBANTOTAL,TOTAL
Alabama,"6,781",-,"5,712","4,572","4,414","1,403","6,259","29,141","9,359",527,"9,577","7,171","4,220",96,"11,540","42,490",71631
Alaska,835,-,283,117,313,241,617,"2,406",758,-,845,498,232,109,631,"3,072",5478
Arizona,"7,770",125,"4,006","2,238","1,820",620,"1,321","17,900","8,549","9,830","8,171","16,537","6,046","2,801","6,324","58,259",76159
Arkansas,"4,610",357,"3,799","2,836","3,731",738,"2,418","18,489","6,114","1,055","3,759","4,643","2,042",81,"2,347","20,042",38530
California,"17,594","6,528","11,327","8,471","9,665","1,362","5,320","60,267","70,385","57,057","50,677","40,681","22,099",101,"13,977","254,977",315244
Colorado,"5,109",276,"4,746","2,187","1,974",841,"1,682","16,814","9,858","5,466","8,997","6,301","2,734",54,"3,712","37,121",53935
Connecticut,477,305,386,372,790,145,533,"3,008","9,524","4,178","3,368","4,721","2,393",230,"2,245","26,659",29666
Delaware,-,393,744,255,571,194,466,"2,623","1,424",759,"2,081","1,047",815,65,"1,058","7,249",9872
District of Columbia,-,-,-,-,-,-,-,-,484,372,922,615,249,-,778,"3,421",3421
Florida,"12,162","2,420","9,564","4,274","4,373","1,642","5,609","40,044","32,274","16,796","45,568","29,087","20,047","3,817","40,124","187,713",227757
Georgia,"8,658",-,"6,340","5,649","4,997","1,107","16,793","43,545","25,599","3,736","17,047","16,496","5,091",351,"17,005","85,326",128871
Hawaii,-,-,322,581,164,35,721,"1,824","1,834",458,"2,038",983,724,272,"2,157","8,465",10289
Idaho,"2,988",358,"2,467","1,237","1,594",166,"2,258","11,067","1,817",211,"2,312","1,852",778,5,"1,115","8,090",19157
Illinois,"9,758",156,"3,615","4,189","3,659",509,"3,134","25,020","25,034","1,090","18,340","14,502","7,528",852,"11,387","78,732",103752
Indiana,"16,524",374,"6,686","4,693","16,901","4,878","5,212","55,267","9,689",701,"4,318","4,737","4,930",952,"15,090","40,417",95684
Iowa,"5,230",-,"6,247","2,619","3,458",815,"1,378","19,747","3,042",-,"3,878","3,173","1,105",0,"1,767","12,965",32712
Kansas,"3,853","1,310","3,182","2,369","2,659",376,"1,396","15,145","3,830","2,048","1,204","4,438","2,122",283,"2,264","16,189",31334
Kentucky,"8,685","1,477","3,444","3,564","3,847","2,044","2,977","26,038","6,769",871,"4,421","5,217","2,137",332,"2,263","22,009",48047
Louisiana,"7,551",120,"2,676","3,040","3,656","1,382","2,868","21,293","10,774","1,236","8,058","7,012","4,014","1,251","2,876","35,221",56514
Maine,"2,154",20,"1,789","1,686","2,233",825,"1,457","10,165","1,241",134,666,961,892,122,471,"4,487",14651
Maryland,"2,099",515,"2,005","1,709","1,563",659,"1,770","10,321","14,640","6,583","9,986","7,188","4,025",701,"3,301","46,425",56746
Massachusetts,790,98,208,401,661,79,539,"2,777","15,733","5,266","10,633","10,454","3,974",-,"8,112","54,172",56949
Michigan,"5,433","2,727","4,335","6,849","8,069",867,"2,221","30,502","15,717","5,949","16,351","15,121","4,799",100,"7,363","65,399",95901
Minnesota,"3,784",192,"6,839","4,869","4,217","1,375","2,760","24,036","8,541","4,184","4,368","8,441","3,140",912,"3,850","33,435",57471
Mississippi,"4,856",-,"5,301","3,540","3,844",409,"5,699","23,648","4,177",521,"4,877","2,504","1,694",4,"2,527","16,304",39952
Missouri,"8,111","5,541","3,331","3,644","5,395",707,"9,541","36,269","14,103","5,749","5,370","6,124","3,352",316,"8,146","43,161",79431
Montana,"2,793",-,"2,706","1,168",916,474,"1,257","9,314",654,-,"1,290",639,420,32,"1,165","4,199",13514
Nebraska,"3,159","1,008","2,173","2,374","1,474",279,"1,164","11,630","1,651","1,266","2,047","2,588",670,41,"1,377","9,640",21270
Nevada,"2,493",-,"1,887",474,422,165,486,"5,927","4,569","1,828","3,349","5,015",50,"2,084","4,826","21,720",27647
New Hampshire,"1,126",155,"1,063","1,136","1,097",523,384,"5,484","1,985","1,335","1,252","1,589",857,-,779,"7,796",13281
New Jersey,"1,205",469,646,667,778,160,831,"4,756","15,124","12,468","15,787","11,013","4,409",563,"11,168","70,532",75288
New Mexico,"4,844",-,"3,630","1,664","1,600",398,"3,960","16,097","2,823",108,"3,996","1,750",949,234,875,"10,734",26831
New York,"5,708",844,"3,686","3,399","3,738","2,552","4,687","24,613","19,707","16,769","17,659","15,700","6,501",142,"14,291","90,769",115382
North Carolina,"6,889","2,640","6,292","6,103","7,214","2,969","8,926","41,033","20,436","5,726","15,496","13,323","7,033",661,"15,674","78,348",119381
North Dakota,"1,549",-,"1,964",714,983,-,"1,076","6,285",527,-,849,566,313,-,639,"2,895",9180
Ohio,"8,809","2,087","4,468","4,147","7,518","1,558","5,398","33,985","23,975","6,408","13,087","12,886","9,145",523,"10,569","76,593",110578
Oklahoma,"5,810",65,"5,426","2,905","5,517",139,"2,082","21,946","5,594","3,330","5,445","4,710","1,368",57,"2,115","22,619",44566
Oregon,"4,090",-,"4,584","1,964","2,231",876,858,"14,604","5,549","1,441","5,603","4,358","2,868",297,"1,857","21,972",36576
